summoner,region,rank,tier,lp,most_champion_1,most_champion_2,most_champion_3,level,win,loss,winrate
민철이여친구함 #0415,kr,1,CHALLENGER,2284.0,Sylas,Hwei,Yone,625,310,195,0.61
클래식좀들어라 #KR2,kr,10,CHALLENGER,1493.0,Nidalee,Lillia,Lee Sin,559,232,160,0.59
다훈갓 #Bard,kr,100,CHALLENGER,1078.0,Bard,Nautilus,Brand,694,151,107,0.59
DK Garden #jiman,kr,101,CHALLENGER,1076.0,Yone,Sylas,Aurora,345,260,211,0.55
Zac #KR1,kr,102,CHALLENGER,1075.0,Zac,Ivern,Skarner,467,481,428,0.53
투정꾼 #FA1,kr,103,CHALLENGER,1074.0,Orianna,Aurora,Yone,605,471,417,0.53
fuxiaomei #33333,kr,104,CHALLENGER,1073.0,Corki,Yone,Jhin,307,248,202,0.55
dice #33332,kr,105,CHALLENGER,1073.0,Yone,Sylas,Hwei,705,173,123,0.58
zhang wen zi #KR1,kr,106,CHALLENGER,1070.0,Viego,Graves,Diana,388,281,229,0.55
미 생 #未 生,kr,107,CHALLENGER,1069.0,Corki,Jhin,Ezreal,146,150,94,0.61
Casting #KR11,kr,108,CHALLENGER,1069.0,Aurora,Jax,Gnar,731,279,219,0.56
마이냥 #1210,kr,109,CHALLENGER,1068.0,Zyra,Viego,Lee Sin,629,180,132,0.58
Ivory #1012,kr,11,CHALLENGER,1485.0,Yone,Aurora,Viego,294,447,394,0.53
나는먼지 #KR11,kr,110,CHALLENGER,1068.0,Rell,Poppy,Rakan,758,230,182,0.56
피파가더재밌어요 #KR1,kr,111,CHALLENGER,1066.0,Sylas,Ahri,Galio,166,123,64,0.66
강하다 별 #사실약함,kr,112,CHALLENGER,1065.0,Rumble,Jax,Renekton,928,323,271,0.54
기드온 #KR22,kr,113,CHALLENGER,1065.0,Xin Zhao,Graves,Lee Sin,832,261,218,0.54
Banye Kami #1106,kr,114,CHALLENGER,1063.0,Kai'Sa,Jhin,Varus,233,272,224,0.55
長幼有序 #進退兩難,kr,115,CHALLENGER,1063.0,Gragas,Viego,Graves,599,314,264,0.54
qweracdsc1qs #KR2,kr,116,CHALLENGER,1061.0,Jhin,Kai'Sa,Ashe,618,246,205,0.55
zijianqaq #捷特大王,kr,117,CHALLENGER,1060.0,Graves,Tristana,Zyra,215,137,94,0.59
어q어 #8468,kr,118,CHALLENGER,1059.0,Caitlyn,Jhin,Jinx,415,272,218,0.56
Naruto #Helix,kr,119,CHALLENGER,1058.0,Yasuo,Yone,Nautilus,329,175,130,0.57
M G #2821,kr,12,CHALLENGER,1473.0,Sylas,Taliyah,Swain,872,351,292,0.55
막판스퍼트 #KR0,kr,120,CHALLENGER,1058.0,Lee Sin,Nidalee,Kindred,478,198,145,0.58
1vsAll #KR1,kr,121,CHALLENGER,1057.0,Xin Zhao,Udyr,Gragas,389,208,166,0.56
정루피 #LOOPY,kr,122,CHALLENGER,1054.0,Corki,Ashe,Varus,324,436,376,0.54
Top PotFriend #1557,kr,123,CHALLENGER,1053.0,Maokai,Pantheon,Renekton,169,444,401,0.53
zcxczxxzcxcz #KR0,kr,124,CHALLENGER,1051.0,Zoe,Akali,Yone,412,230,182,0.56
HLE 팬서 #KR1,kr,125,CHALLENGER,1051.0,K'Sante,Renekton,Ambessa,661,315,260,0.55
waitwaitwait #K R 1,kr,126,CHALLENGER,1050.0,Rell,Nautilus,Pyke,86,299,236,0.56
Season of Leaves #1031,kr,127,CHALLENGER,1049.0,Aphelios,Varus,Caitlyn,970,207,155,0.57
hwaljjak #활짝웃어,kr,128,CHALLENGER,1043.0,Poppy,Braum,Skarner,639,446,397,0.53
DRX ucal #2025,kr,129,CHALLENGER,1040.0,Aurora,Neeko,Smolder,617,188,138,0.58
fa ady #kr3,kr,13,CHALLENGER,1466.0,Pantheon,K'Sante,Ambessa,747,489,419,0.54
haiyaoduojiu #1111,kr,130,CHALLENGER,1037.0,Nautilus,Rell,Renata Glasc,520,410,360,0.53
