player_id,region,total_games,wins,losses,win_rate,avg_kills,avg_deaths,avg_assists,kda_ratio,kill_participation,most_champ_1,WR_1,W_1,L_1,KDA_1,most_champ_2,WR_2,W_2,L_2,KDA_2,most_champ_3,WR_3,W_3,L_3,KDA_3,TOP,JUNGLE,MID,ADC,SUPPORT,most_role_1,most_role_2,most_role_1_value,most_role_2_value,season_champ_1,cs_ssn_1,cpm_ssn_1,kda_ssn_1,k_ssn_1,d_ssn_1,a_ssn_1,wr_ssn_1,games_ssn_1,season_champ_2,cs_ssn_2,cpm_ssn_2,kda_ssn_2,k_ssn_2,d_ssn_2,a_ssn_2,wr_ssn_2,games_ssn_2,season_champ_3,cs_ssn_3,cpm_ssn_3,kda_ssn_3,k_ssn_3,d_ssn_3,a_ssn_3,wr_ssn_3,games_ssn_3,season_champ_4,cs_ssn_4,cpm_ssn_4,kda_ssn_4,k_ssn_4,d_ssn_4,a_ssn_4,wr_ssn_4,games_ssn_4,season_champ_5,cs_ssn_5,cpm_ssn_5,kda_ssn_5,k_ssn_5,d_ssn_5,a_ssn_5,wr_ssn_5,games_ssn_5,season_champ_6,cs_ssn_6,cpm_ssn_6,kda_ssn_6,k_ssn_6,d_ssn_6,a_ssn_6,wr_ssn_6,games_ssn_6,season_champ_7,cs_ssn_7,cpm_ssn_7,kda_ssn_7,k_ssn_7,d_ssn_7,a_ssn_7,wr_ssn_7,games_ssn_7,mastery_champ_1,m_lv_1,mastery_champ_2,m_lv_2,mastery_champ_3,m_lv_3,mastery_champ_4,m_lv_4,mastery_champ_5,m_lv_5,mastery_champ_6,m_lv_6,mastery_champ_7,m_lv_7,mastery_champ_8,m_lv_8,mastery_champ_9,m_lv_9,mastery_champ_10,m_lv_10,mastery_champ_11,m_lv_11,mastery_champ_12,m_lv_12,mastery_champ_13,m_lv_13,mastery_champ_14,m_lv_14,mastery_champ_15,m_lv_15,mastery_champ_16,m_lv_16,7d_champ_1,7d_total_1,7d_W_1,7d_L_1,7d_WR_1,7d_champ_2,7d_total_2,7d_W_2,7d_L_2,7d_WR_2,7d_champ_3,7d_total_3,7d_W_3,7d_L_3,7d_WR_3
FA Midir #2006,kr,20,7,13,0.35,3.8,4.1,4.9,2.12,0.4,K'Sante,0.13,1,7,2.03,Ambessa,0.75,3,1,2.5,Renekton,0.67,2,1,1.86,0.9,0.0,0.05,0.0,0.05,TOP,MID,0.9,0.05,K'Sante,186.4,7.5,2.77,3.9,3.2,4.9,0.52,177,Aurora,191.6,7.4,3.58,4.7,3.2,6.8,0.57,110,Renekton,192,7.9,2.58,3.7,3.3,4.8,0.51,105,Gnar,186.9,7.5,2.53,4.1,3.5,4.8,0.49,85,Ambessa,166.2,7.2,2.6,4.0,3.3,4.5,0.56,54,Jax,182.7,7.4,2.53,3.9,3.2,4.2,0.52,52,Jayce,210.8,7.9,2.27,4.7,4.7,5.9,0.54,26,K'Sante,73,Renekton,49,Poppy,37,Jax,25,Aatrox,24,Gnar,21,Jayce,20,Aurora,20,Rumble,18,Skarner,15,Udyr,12,Camille,12,Kennen,11,,0,,0,,0,,,,,,,,,,,,,,,
성 훈 #1231,kr,20,13,7,0.65,2.7,3.7,11.2,3.76,0.57,Poppy,0.67,6,3,3.74,Karma,0.67,2,1,4.8,Rakan,1.0,2,0,4.11,0.0,0.0,0.0,0.05,0.95,SUPPORT,ADC,0.95,0.05,Poppy,28.1,1,2.64,3.0,5.9,12.5,0.62,69,Pyke,26,1.1,2.86,4.5,5.5,11.3,0.62,42,Bard,27.5,1,3.21,2.1,5.6,15.8,0.5,20,Blitzcrank,23.8,0.9,2.4,1.9,5.2,10.5,0.39,18,Varus,194.4,7.5,3.55,7.1,4.7,9.6,0.8,10,Rakan,22.6,0.9,4.91,1.0,4.0,18.6,0.88,8,Thresh,23.5,1,4.25,1.6,4.0,15.4,0.88,8,Pyke,53,Blitzcrank,35,Thresh,24,Bard,24,Nautilus,15,Karma,14,Lee Sin,12,Poppy,10,,0,,0,,0,,0,,0,,0,,0,,0,Poppy,13.0,8.0,5.0,0.62,Rakan,3.0,3.0,0.0,1.0,Karma,3.0,2.0,1.0,0.67
폐 허 #KR1,kr,20,11,9,0.55,2.6,5.2,9.2,2.27,0.55,Pyke,0.71,5,2,2.04,Leona,0.6,3,2,3.1,Nautilus,0.33,1,2,1.55,0.0,0.0,0.0,0.0,1.0,SUPPORT,MID,1.0,0.0,Pyke,25.8,1.1,2.93,4.7,4.9,9.6,0.56,116,Leona,21.2,0.9,2.87,1.3,4.5,11.7,0.56,59,Alistar,20.5,0.8,3.35,1.1,4.6,14.3,0.71,48,Nautilus,23,1,2.63,2.0,5.0,11.0,0.38,42,Bard,22.8,0.9,3.2,1.9,4.8,13.3,0.66,38,Braum,20.2,0.9,3.01,1.3,4.2,11.4,0.48,27,Rakan,24.8,1.1,3.5,1.6,4.3,13.5,0.58,24,Pyke,32,Nautilus,19,Thresh,16,Zed,15,Leona,13,Lee Sin,11,Blitzcrank,11,Yasuo,10,Rakan,13,Bard,13,Braum,11,Alistar,11,Ahri,10,,0,,0,,0,Leona,2.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
채팅치면원숭이 #KRmk,kr,20,13,7,0.65,1.5,5.9,14.3,2.68,0.61,Leona,0.57,4,3,2.3,Braum,0.83,5,1,6.13,Karma,0.75,3,1,2.0,0.0,0.0,0.0,0.0,1.0,SUPPORT,MID,1.0,0.0,Leona,23.8,1,2.41,1.5,5.7,12.1,0.6,81,Braum,20.6,0.9,3.91,0.8,3.9,14.3,0.7,50,Karma,32.6,1.3,2.85,2.4,5.2,12.4,0.51,43,Nautilus,24.3,1,2.22,2.0,5.7,10.7,0.45,42,Thresh,24.9,1,2.83,1.5,5.2,13.2,0.51,41,Rakan,21.4,0.9,3.01,1.8,4.9,12.8,0.5,30,Renata Glasc,22.5,1,2.75,2.0,5.0,11.6,0.48,25,Thresh,147,Nautilus,59,Alistar,55,Karma,55,Rakan,52,Leona,33,Pyke,24,Morgana,24,Braum,21,Lee Sin,18,Tahm Kench,17,Lulu,17,Lux,16,Ashe,14,Janna,11,Ezreal,11,Karma,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
PdSmB1 #KR3,kr,20,11,9,0.55,5.2,5.0,6.1,2.26,0.5,Ashe,0.57,4,3,2.28,Varus,0.67,2,1,2.16,Corki,1.0,2,0,4.5,0.0,0.0,0.1,0.9,0.0,ADC,MID,0.9,0.1,Ashe,193.6,8.2,3.15,5.0,3.8,7.1,0.61,85,Kai'Sa,216.9,8.5,2.91,6.9,4.4,6.0,0.5,30,Jinx,194.1,8.4,2.55,5.1,4.2,5.6,0.41,29,Corki,213.6,8.9,3.75,6.5,3.6,6.9,0.71,28,Varus,207.6,7.9,2.84,6.3,4.7,7.0,0.42,26,Aphelios,228.2,8.6,2.27,6.9,5.3,5.2,0.46,24,Ezreal,201.5,8.5,3.18,5.4,3.2,4.8,0.74,23,Ashe,18,Kai'Sa,17,Ezreal,16,Aphelios,15,Varus,12,Zeri,11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Ashe,7.0,4.0,3.0,0.57,Varus,3.0,2.0,1.0,0.67,Miss Fortune,3.0,0.0,3.0,0.0
DK Sharvel #KR1,kr,20,12,8,0.6,4.4,4.6,6.6,2.39,0.46,Gnar,0.8,4,1,1.35,Zyra,0.67,2,1,3.93,Viego,0.5,1,1,4.67,0.4,0.6,0.0,0.0,0.0,JUNGLE,TOP,0.6,0.4,Kindred,166.6,6.8,3.22,7.1,4.6,7.7,0.53,98,Graves,180.5,7.7,3.82,6.7,3.5,6.5,0.64,97,Viego,163.2,6.8,4.4,7.6,3.4,7.2,0.58,84,Gnar,177.3,7.1,1.49,3.2,5.4,4.9,0.49,82,Lee Sin,150.1,6.3,4,6.3,3.5,7.5,0.53,53,Nidalee,170.2,6.9,3.25,5.7,3.9,7.0,0.47,47,Skarner,141.8,5.9,4.26,4.9,3.4,9.5,0.56,41,Qiyana,67,Kayn,58,Lee Sin,55,Viego,45,Kindred,34,Karthus,33,Ekko,33,Nidalee,25,Graves,19,Lillia,17,Hecarim,16,Vi,14,Diana,12,Skarner,12,Wukong,12,Jarvan IV,11,Gnar,14.0,8.0,6.0,0.57,Viego,11.0,6.0,5.0,0.55,Skarner,9.0,7.0,2.0,0.78
yangzhiganlu #666,kr,20,11,9,0.55,5.8,4.6,9.1,3.24,0.59,Kayn,0.5,8,8,3.04,Jarvan IV,1.0,2,0,4.85,Gragas,1.0,1,0,8.0,0.05,0.95,0.0,0.0,0.0,JUNGLE,TOP,0.95,0.05,Kayn,162.7,6.4,3,7.6,5.0,7.4,0.58,304,Shen,135.4,5.6,2.94,2.2,4.0,9.6,0.33,9,Gragas,186.3,5.7,2.03,4.2,6.5,9.0,0.5,6,Graves,159.2,7.2,3.88,9.2,3.2,3.2,0.6,5,Viego,125.3,6.5,1.94,3.3,4.0,4.5,0.25,4,Renekton,167.8,7.2,1.54,3.0,3.3,2.0,0.25,4,Galio,138.3,6.7,3.44,3.0,3.0,7.3,0.67,3,Kayn,47,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Kayn,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
청포도육포 #KR1,kr,20,14,6,0.7,3.9,3.4,9.5,3.94,0.53,Skarner,0.67,4,2,4.26,K'Sante,0.6,3,2,3.33,Karthus,1.0,2,0,5.0,0.45,0.5,0.0,0.0,0.05,JUNGLE,TOP,0.5,0.45,Viego,147.8,6.4,3.47,7.5,4.0,6.5,0.59,32,Lee Sin,164,6,3.38,6.8,4.7,9.1,0.6,20,Skarner,128.9,5.5,6.03,4.9,2.6,10.8,0.73,15,Zyra,163.9,7.1,3.21,4.8,3.8,7.4,0.53,15,Leona,27.7,1.3,5,1.7,2.8,12.1,0.83,12,Karthus,196,6.9,3.08,8.5,7.2,13.5,0.73,11,Xin Zhao,162.8,5.9,3.96,7.5,4.5,10.5,0.64,11,Lee Sin,24,Viego,18,Xin Zhao,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,K'Sante,3.0,2.0,1.0,0.67,Karthus,2.0,2.0,0.0,1.0,Skarner,2.0,1.0,1.0,0.5
OMG Moham #OMG,kr,20,11,9,0.55,2.6,4.6,12.6,3.3,0.65,Lux,1.0,3,0,5.58,Leona,0.0,0,3,1.94,Poppy,1.0,2,0,6.67,0.0,0.0,0.0,0.1,0.9,SUPPORT,ADC,0.9,0.1,Pyke,27.9,1.2,2.89,5.7,5.4,10.0,0.6,45,Rell,24.3,0.9,4.53,2.0,4.3,17.5,0.52,27,Leona,26.4,1.1,3.11,1.3,4.4,12.5,0.39,18,Renata Glasc,28.7,1.2,4.96,0.8,3.1,14.4,0.63,16,Bard,28.1,1.1,4.06,1.3,4.3,16.3,0.8,15,Blitzcrank,22.4,0.9,3.95,1.5,4.5,16.3,0.64,14,Poppy,28.4,1.1,3.33,4.0,4.9,12.4,0.64,14,Rakan,19,Pyke,19,Nautilus,18,Karma,15,Rell,12,Thresh,11,Renata Glasc,11,Leona,10,Lux,10,,0,,0,,0,,0,,0,,0,,0,Leona,10.0,4.0,6.0,0.4,Pyke,7.0,3.0,4.0,0.43,Lux,5.0,4.0,1.0,0.8
chengzhitop #4433,kr,20,10,10,0.5,3.7,4.7,4.1,1.66,0.35,Riven,0.53,9,8,1.69,Camille,1.0,1,0,2.2,Nasus,0.0,0,1,0.5,0.7,0.0,0.2,0.05,0.05,TOP,MID,0.7,0.2,Riven,184.8,7.4,2.14,5.2,4.8,4.9,0.54,761,Jax,154.2,6.3,1.35,3.0,6.1,5.2,0.43,60,Renekton,176.6,7.5,1.8,3.5,5.0,5.6,0.42,33,Nasus,140.6,5.8,1.56,2.8,6.5,7.3,0.45,31,Camille,95,4.1,1.58,3.4,6.4,6.6,0.52,29,Soraka,17.2,0.7,1.91,0.6,6.8,12.5,0.29,17,Fiora,179.3,7.1,1.07,2.3,6.6,4.7,0.57,7,Riven,65,Tristana,11,Hwei,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Camille,1.0,1.0,0.0,1.0,Riven,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0
