region,username,formatted_username,error
kr,NoRoo #T 1,NoRoo--T-1,No match data found
kr,더 간절한 박민우 #FA08,%EB%8D%94-%EA%B0%84%EC%A0%88%ED%95%9C-%EB%B0%95%EB%AF%BC%EC%9A%B0--FA08,No match data found
kr,Alpha smoker #KR0,Alpha-smoker--KR0,No match data found
kr,Noises #L R,Noises--L-R,No match data found
kr,初见泉 #浮 云,%E5%88%9D%E8%A7%81%E6%B3%89--%E6%B5%AE-%E4%BA%91,No match data found
kr,NASA #A D,NASA--A-D,No match data found
kr,OH NO OH YES #1753,OH-NO-OH-YES--1753,No match data found
kr,기묘진 #K R,%EA%B8%B0%EB%AC%98%EC%A7%84--K-R,No match data found
kr,치킨사줬더니닭다리만골라먹는김견 #김 견,%EC%B9%98%ED%82%A8%EC%82%AC%EC%A4%AC%EB%8D%94%EB%8B%88%EB%8B%AD%EB%8B%A4%EB%A6%AC%EB%A7%8C%EA%B3%A8%EB%9D%BC%EB%A8%B9%EB%8A%94%EA%B9%80%EA%B2%AC--%EA%B9%80-%EA%B2%AC,No match data found
kr,UDT #KR 1,UDT--KR-1,No match data found
kr,엘 에이 씨티 #LA CT,%EC%97%98-%EC%97%90%EC%9D%B4-%EC%94%A8%ED%8B%B0--LA-CT,No match data found
vn,Trần Tiểu Kỳ #997,Tr%E1%BA%A7n-Ti%E1%BB%83u-K%E1%BB%B3--997,No match data found
