player_id,region,total_games,wins,losses,win_rate,avg_kills,avg_deaths,avg_assists,kda_ratio,kill_participation,most_champ_1,WR_1,W_1,L_1,KDA_1,most_champ_2,WR_2,W_2,L_2,KDA_2,most_champ_3,WR_3,W_3,L_3,KDA_3,TOP,JUNGLE,MID,ADC,SUPPORT,most_role_1,most_role_2,most_role_1_value,most_role_2_value,season_champ_1,cs_ssn_1,cpm_ssn_1,kda_ssn_1,k_ssn_1,d_ssn_1,a_ssn_1,wr_ssn_1,games_ssn_1,season_champ_2,cs_ssn_2,cpm_ssn_2,kda_ssn_2,k_ssn_2,d_ssn_2,a_ssn_2,wr_ssn_2,games_ssn_2,season_champ_3,cs_ssn_3,cpm_ssn_3,kda_ssn_3,k_ssn_3,d_ssn_3,a_ssn_3,wr_ssn_3,games_ssn_3,season_champ_4,cs_ssn_4,cpm_ssn_4,kda_ssn_4,k_ssn_4,d_ssn_4,a_ssn_4,wr_ssn_4,games_ssn_4,season_champ_5,cs_ssn_5,cpm_ssn_5,kda_ssn_5,k_ssn_5,d_ssn_5,a_ssn_5,wr_ssn_5,games_ssn_5,season_champ_6,cs_ssn_6,cpm_ssn_6,kda_ssn_6,k_ssn_6,d_ssn_6,a_ssn_6,wr_ssn_6,games_ssn_6,season_champ_7,cs_ssn_7,cpm_ssn_7,kda_ssn_7,k_ssn_7,d_ssn_7,a_ssn_7,wr_ssn_7,games_ssn_7,7d_champ_1,7d_total_1,7d_W_1,7d_L_1,7d_WR_1,7d_champ_2,7d_total_2,7d_W_2,7d_L_2,7d_WR_2,7d_champ_3,7d_total_3,7d_W_3,7d_L_3,7d_WR_3,mastery_champ_1,m_lv_1,mastery_champ_2,m_lv_2,mastery_champ_3,m_lv_3,mastery_champ_4,m_lv_4,mastery_champ_5,m_lv_5,mastery_champ_6,m_lv_6,mastery_champ_7,m_lv_7,mastery_champ_8,m_lv_8,mastery_champ_9,m_lv_9,mastery_champ_10,m_lv_10,mastery_champ_11,m_lv_11,mastery_champ_12,m_lv_12,mastery_champ_13,m_lv_13,mastery_champ_14,m_lv_14,mastery_champ_15,m_lv_15,mastery_champ_16,m_lv_16
T1 Smash #KR3,kr,20,14,6,0.7,8.0,5.3,8.7,3.15,0.57,Ezreal,1.0,3,0,4.0,Jhin,1.0,3,0,3.87,Varus,0.67,2,1,5.2,0.0,0.1,0.0,0.9,0.0,ADC,JUNGLE,0.9,0.1,Kai'Sa,211.4,8.7,3.49,7.5,4.1,6.8,0.67,57,Jhin,211.1,8.2,4.23,6.6,3.8,9.4,0.6,47,Ezreal,204.6,8.2,2.55,6.3,5.3,7.1,0.55,44,Kalista,192.5,8,2.51,7.3,5.9,7.6,0.56,41,Jinx,219.4,8.6,3.21,7.5,4.4,6.7,0.49,41,Varus,198.9,8.3,3.16,6.8,4.4,7.2,0.62,29,Miss Fortune,209,9,2.79,5.1,4.0,6.1,0.56,27,Jinx,2.0,1.0,1.0,0.5,Caitlyn,1.0,1.0,0.0,1.0,Jhin,1.0,1.0,0.0,1.0,Kai'Sa,32,Aphelios,23,Ezreal,23,Jinx,21,Jhin,19,Draven,17,Zeri,17,Kalista,17,Xayah,13,Varus,13,Samira,10,Miss Fortune,10,,0,,0,,0,,0
xiangshen1 #KR1,kr,20,11,9,0.55,6.3,6.0,4.8,1.85,0.46,Akali,0.5,2,2,2.45,Draven,0.0,0,3,0.78,Viktor,1.0,2,0,2.67,0.0,0.0,0.7,0.25,0.05,MID,ADC,0.7,0.25,Sylas,173.5,7.5,2.82,6.5,4.6,6.4,0.57,83,Yone,201.3,8.7,2.24,4.4,4.2,5.0,0.59,49,Akali,193.4,7.7,2.68,7.8,4.7,4.7,0.53,47,Jayce,174,8.3,1.96,4.1,4.6,5.0,0.55,29,Aurora,170.2,7.5,2.42,4.5,4.3,6.0,0.57,28,Orianna,180.4,8.3,3.26,5.0,3.6,6.7,0.63,27,Neeko,107.6,4.5,3.01,4.0,4.5,9.4,0.6,20,Akali,3.0,2.0,1.0,0.67,Orianna,2.0,1.0,1.0,0.5,Yone,2.0,1.0,1.0,0.5,Sylas,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
개 천 #KR1,kr,20,14,6,0.7,2.9,2.3,7.8,4.65,0.43,Zac,0.7,14,6,4.63,,0.0,0,0,0.0,,0.0,0,0,0.0,0.85,0.0,0.15,0.0,0.0,TOP,MID,0.85,0.15,Zac,159.1,6.6,2.92,3.5,3.6,7.1,0.58,274,Gnar,196,7.2,1.93,3.8,4.6,5.2,0.59,22,Mordekaiser,208.8,7.6,1.35,3.8,5.0,3.0,0.5,4,Camille,204,8.1,6.5,7.0,2.0,6.0,1.0,1,Volibear,200,6.5,0.5,2.0,10.0,3.0,0.0,1,,0,0,0,0,0,0,0.0,0,,0,0,0,0,0,0,0.0,0,Zac,1.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Zac,185,Gnar,20,Mordekaiser,15,Pyke,13,Wukong,12,Camille,11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
숟가락전사 #KR1,kr,20,10,10,0.5,3.6,3.5,6.8,2.97,0.41,Jayce,0.6,3,2,2.8,Rumble,0.4,2,3,3.72,Ambessa,0.5,1,1,2.67,0.85,0.0,0.1,0.05,0.0,TOP,MID,0.85,0.1,Ambessa,196.1,7.5,3.47,6.4,3.4,5.4,0.63,38,Gnar,194.5,8,3.38,4.5,2.9,5.4,0.66,35,Jax,195.7,7.5,3.95,4.6,2.6,5.7,0.57,28,Rumble,184,7.3,3.36,4.5,3.3,6.7,0.58,26,Aurora,200.4,7.5,4.82,5.4,2.5,6.8,0.71,24,K'Sante,195,7.6,2.83,2.6,3.0,5.9,0.5,20,Renekton,185.9,8.4,3.09,3.8,2.9,5.1,0.63,16,Jayce,7.0,4.0,3.0,0.57,Rumble,6.0,3.0,3.0,0.5,Ambessa,2.0,1.0,1.0,0.5,Jayce,37,Jax,25,Renekton,24,K'Sante,21,Rumble,21,Kennen,21,Camille,21,Gragas,19,Gnar,20,Aatrox,19,Gangplank,13,Fiora,12,Viego,12,Gwen,11,Lee Sin,11,Akali,11
DANDAN心魅かれてく #solo,kr,20,12,8,0.6,4.1,3.4,5.3,2.76,0.36,Maokai,0.75,3,1,4.25,K'Sante,0.5,2,2,2.29,Ambessa,0.67,2,1,3.0,0.85,0.0,0.1,0.05,0.0,TOP,MID,0.85,0.1,Ambessa,176.9,7.6,2.45,5.6,3.7,3.4,0.6,70,Jax,179.8,7.7,2.84,5.7,3.3,3.7,0.66,29,Rumble,178.9,7.2,3.29,5.3,4.0,7.9,0.66,29,Maokai,133,5.8,3,2.3,3.7,8.7,0.71,24,Gnar,209.6,7.9,2.83,5.0,3.8,5.8,0.57,21,K'Sante,189.8,7.3,1.59,3.0,5.1,5.0,0.4,20,Irelia,229.5,9.4,2.42,7.3,4.8,4.3,0.87,15,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
수원 남현준 #1111,kr,20,10,10,0.5,6.5,5.4,8.4,2.76,0.56,Ezreal,0.75,3,1,3.74,Lucian,0.5,1,1,4.55,Yone,0.5,1,1,3.2,0.0,0.35,0.25,0.35,0.05,JUNGLE,ADC,0.35,0.35,Yone,208.5,8.2,2.36,4.9,4.5,5.6,0.46,57,Hwei,164.4,6.8,3.13,4.4,4.3,9.1,0.67,55,Sylas,152.3,6.6,2.75,6.1,4.6,6.6,0.55,51,Yasuo,194.5,8.1,2.09,4.9,5.3,6.3,0.53,49,Aurora,173,7.5,3.76,5.5,3.3,6.9,0.6,45,Corki,211.3,8.1,2.83,6.8,5.0,7.4,0.55,44,Viego,151,6,3.13,6.8,4.9,8.4,0.56,34,Ezreal,3.0,3.0,0.0,1.0,Gragas,1.0,1.0,0.0,1.0,Lee Sin,1.0,1.0,0.0,1.0,Sylas,48,Yone,36,Lucian,28,Viego,24,Lee Sin,21,Taliyah,20,Jayce,19,Qiyana,18,Akali,19,Syndra,18,Hwei,18,Vex,17,Zoe,17,Tristana,17,LeBlanc,15,Sett,14
Ning #KR33,kr,20,12,8,0.6,7.2,4.9,10.5,3.61,0.63,Lee Sin,0.8,4,1,3.19,Varus,0.5,2,2,4.6,Sejuani,0.67,2,1,7.14,0.0,0.75,0.0,0.25,0.0,JUNGLE,ADC,0.75,0.25,Varus,201.8,7.9,3.03,6.6,4.5,7.1,0.64,47,Lee Sin,166.7,6.3,3.58,7.3,4.6,9.2,0.7,46,Skarner,161.8,6.3,4.3,5.5,3.7,10.2,0.58,33,Vi,147.1,6.2,3.07,4.4,4.3,8.8,0.5,32,Zyra,194.8,7.7,3.47,5.6,4.2,8.9,0.61,28,Nocturne,183.4,6.8,3.66,6.9,5.1,11.8,0.59,17,Viego,174.1,7,2.62,7.1,5.1,6.2,0.71,14,Lee Sin,6.0,5.0,1.0,0.83,Varus,5.0,3.0,2.0,0.6,Skarner,3.0,2.0,1.0,0.67,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
Yeon7 #lol,kr,20,9,10,0.47,6.1,5.2,6.2,2.37,0.53,Jhin,0.83,5,1,5.15,Ashe,0.17,1,5,1.12,Kalista,0.5,2,2,2.32,0.0,0.0,0.0,1.0,0.0,ADC,MID,1.0,0.0,Kalista,187.9,7.9,2.85,7.7,4.8,6.1,0.65,98,Ashe,180.2,7.5,2.6,5.5,5.2,8.0,0.51,72,Jhin,183.5,7.6,3.46,7.2,4.3,7.6,0.62,53,Corki,200.9,8.3,3.03,7.0,4.3,6.1,0.5,50,Varus,197.8,7.7,2.69,6.6,5.5,8.2,0.56,43,Ezreal,178.7,8,2.97,5.5,3.9,5.9,0.63,41,Tristana,212.4,7.7,2.04,8.0,6.4,5.1,0.58,24,Jhin,6.0,5.0,1.0,0.83,Kalista,4.0,2.0,2.0,0.5,Ashe,2.0,0.0,2.0,0.0,Kalista,12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
livinli #KR1,kr,20,13,7,0.65,7.3,4.9,7.2,2.96,0.55,Azir,0.75,3,1,3.13,Corki,0.67,2,1,3.9,Sylas,0.67,2,1,2.7,0.0,0.0,0.75,0.25,0.0,MID,ADC,0.75,0.25,Aurora,177.9,7.6,3.02,7.0,4.3,5.9,0.64,28,Corki,227.1,8.9,3.89,8.9,4.4,8.3,0.95,19,Viktor,192.1,7.8,2.57,6.0,5.2,7.4,0.67,18,Sylas,152.6,5.9,2.31,6.7,7.2,10.0,0.6,15,Azir,222.5,8.5,2.38,5.8,5.2,6.6,0.69,13,LeBlanc,175.2,7.4,2.59,6.2,4.7,6.0,0.62,13,Yone,213,8.1,2,5.8,6.3,6.8,0.54,13,Sylas,2.0,2.0,0.0,1.0,Aurora,2.0,1.0,1.0,0.5,Corki,1.0,1.0,0.0,1.0,Azir,16,LeBlanc,13,Tristana,12,Corki,11,Sylas,10,Hwei,10,Syndra,10,,0,,0,,0,,0,,0,,0,,0,,0,,0
革命前夜 #eill,kr,20,10,10,0.5,5.1,4.0,7.0,3.02,0.55,Zyra,0.6,6,4,3.51,Viego,0.33,1,2,2.86,Wukong,1.0,1,0,6.5,0.0,1.0,0.0,0.0,0.0,JUNGLE,MID,1.0,0.0,Zyra,197.9,7.8,3.71,5.0,3.7,8.6,0.56,61,Skarner,145.3,6.1,3.54,4.5,4.1,10.1,0.62,47,Dr. Mundo,201,8.1,2.04,3.1,3.7,4.5,0.6,42,Elise,157.8,5.8,2.67,6.9,5.3,7.1,0.47,38,Bel'Veth,174.2,7.3,3.39,6.7,4.0,7.0,0.61,33,Karthus,206.7,8.1,3.35,6.5,4.3,7.8,0.58,33,Viego,178.9,7,3.17,5.8,4.3,8.0,0.55,29,,,,,,,,,,,,,,,,Lee Sin,39,Ekko,31,Graves,28,Kayn,27,Bel'Veth,25,Talon,25,Viego,23,Kha'Zix,19,Elise,17,Jhin,15,Hecarim,15,Sylas,14,Lillia,13,Zyra,12,Karthus,12,Taliyah,11
