rank,champion,games,KDA,WR,pick,ban,cs,gold
99,Rengar,108,2.61,47.22,3.36,20.63,188.13,11943
100,Ryze,107,2.37,58.88,3.33,0.68,210.24,11242
101,Miss Fortune,107,2.94,50.47,3.33,0.23,218.93,12253
102,Lissandra,105,2.68,57.14,3.27,1.01,185.74,10256
103,Lillia,105,3.22,56.19,3.27,1.79,193.57,11524
104,Kassadin,103,2.8,4.66,3.21,0.33,180.23,11314
105,Akshan,103,2.69,4.66,3.21,3.94,187.76,12055
106,Fiora,99,1.94,63.64,3.08,7.59,202.75,11615
107,Teemo,97,2.11,5.67,3.02,2.79,204.31,11408
108,Udyr,96,2.93,52.08,2.99,4.64,180.7,10246
109,Soraka,95,3.1,42.11,2.96,1.69,36.76,7424
110,Renata Glasc,91,3.43,62.64,2.84,0.55,28.47,7545
111,Cho'Gath,88,2.34,52.27,2.74,0.32,184.43,10807
112,Urgot,87,2.22,54.02,2.71,0.88,197.23,11995
113,Nunu & Willump,87,3.07,44.83,2.71,3.78,150.24,9810
114,Tahm Kench,87,2.16,39.08,2.71,2.11,65.32,8266
115,Zilean,85,3.55,49.41,2.65,1.87,84.71,7880
116,Veigar,85,2.48,48.24,2.72,0.03,206.28,12221
117,Samira,85,2.37,44.71,2.65,2.44,186.94,12391
118,Rek'Sai,85,2.97,41.18,2.65,0.84,171.25,11538
119,Vayne,79,2.04,43.04,2.46,1.49,193.9,11647
120,Evelynn,78,4.13,60.26,2.43,3.75,159.1,11245
121,Kayle,78,2.03,51.28,2.43,1.03,230.08,12289
122,Singed,78,1.99,47.44,2.43,0.82,180.28,10195
123,Zeri,78,2.41,46.15,2.43,0.34,227.04,12523
124,Olaf,77,2.22,62.34,0.24,1.69,207.82,12548
125,Milio,76,3.65,47.37,2.37,0.21,23.41,7025
126,Xayah,75,2.55,49.33,2.34,0.36,224.09,12542
127,Yuumi,75,4.39,0.4,2.34,4.74,15.19,6887
128,Kog'Maw,73,2.03,45.21,2.27,0.98,189.51,11083
129,Cassiopeia,72,1.87,40.28,2.24,1.86,192.29,10940
130,Taric,71,2.38,45.07,2.21,0.28,38.13,7466
131,Trundle,67,1.45,58.21,2.14,0.18,210.19,12302
132,Briar,67,2.49,53.73,2.09,1.41,157.03,11980
133,Vex,67,2.54,53.73,2.09,1.65,169.91,10551
134,Gangplank,66,2.26,57.58,2.06,0.05,213.74,12915
135,Shen,66,3.49,57.58,2.06,0.05,134.27,8772
136,Malphite,65,2.38,46.15,2.03,5.36,168.97,9594
137,Sivir,65,2.34,38.46,2.03,0.34,223.85,11561
138,Ornn,64,2.7,6.25,1.99,0.19,177.52,10193
139,Katarina,64,2.86,59.38,1.99,6.04,180.59,11951
140,Sejuani,63,3.27,46.03,1.96,0.12,153.43,9843
141,Shaco,62,2.8,56.45,1.93,9.64,129.4,10888
142,Sion,62,1.44,46.77,1.93,0.25,217.27,12221
143,Anivia,60,2.91,53.33,1.87,1.42,190.22,10961
144,Twitch,60,2.5,48.33,1.87,1.12,157.78,11872
145,Twisted Fate,58,2.37,53.45,1.85,0.04,182.38,11129
146,Sett,58,1.94,51.72,1.81,0.13,198.4,12571
147,Master Yi,58,2.31,0.5,1.81,0.78,176.48,12421
148,Rammus,58,3.16,48.28,1.81,1.64,155.07,10600
149,Warwick,58,1.83,46.55,1.81,0.92,150.55,9824
150,Ivern,57,4.66,57.89,1.78,0.11,129.3,8981
151,Nasus,52,2.32,51.92,1.62,1.55,179.9,10469
152,Brand,50,2.05,0.4,1.56,0.33,154.32,9696
153,Aurelion Sol,49,3.06,53.06,1.53,0.42,208.53,11724
